x	y	t	particle
-607.365951625	-1014.02086547	6802272727.27	13
-617.50324739	-1017.94091781	6968181818.18	13
-627.524523717	-1021.79549518	7134090909.09	13
-637.43346693	-1025.58669547	7300000000.0	13
-647.233564254	-1029.31652404	7465909090.91	13
-656.928119293	-1032.98689906	7631818181.82	13
-666.520266064	-1036.59965652	7797727272.73	13
-676.012981519	-1040.15655478	7963636363.64	13
-685.409097042	-1043.65927881	8129545454.55	13
-694.711308223	-1047.1094441	8295454545.45	13
-703.922185193	-1050.5086005	8461363636.36	13
-713.04418134	-1053.85823568	8627272727.27	13
-722.079638645	-1057.15977774	8793181818.18	13
-731.030797378	-1060.41459883	8959090909.09	13
-739.899802213	-1063.62401782	9125000000.0	13
-748.688706305	-1066.78930253	9290909090.91	13
-757.399478902	-1069.91167268	9456818181.82	13
-766.034009761	-1072.99230204	9622727272.73	13
-774.594112756	-1076.03232032	9788636363.64	13
-783.081531567	-1079.03281561	9954545454.55	13
-791.497943053	-1081.99483614	10120454545.5	13
-799.844960485	-1084.91939199	10286363636.4	13
-808.124137772	-1087.80745705	10452272727.3	13
-816.336972134	-1090.65997046	10618181818.2	13
-824.48490691	-1093.4778382	10784090909.1	13
-832.569334762	-1096.26193461	10950000000.0	13
-840.591599864	-1099.01310368	11115909090.9	13
-848.553000305	-1101.73216035	11281818181.8	13
-856.454790559	-1104.41989179	11447727272.7	13
-864.298183316	-1107.0770586	11613636363.6	13
-872.084351529	-1109.70439586	11779545454.5	13
-879.814430351	-1112.30261429	11945454545.5	13
-887.489518503	-1114.87240109	12111363636.4	13
-895.110680251	-1117.41442102	12277272727.3	13
-902.678947062	-1119.92931739	12443181818.2	13
-910.195319141	-1122.41771294	12609090909.1	13
-917.660765924	-1124.88021036	12775000000.0	13
-925.076227507	-1127.31739319	12940909090.9	13
-932.442616728	-1129.7298268	13106818181.8	13
-939.76082002	-1132.11805899	13272727272.7	13
-947.031698244	-1134.48262065	13438636363.6	13
-954.25608709	-1136.82402623	13604545454.5	13
-961.434799135	-1139.14277466	13770454545.5	13
-968.568624471	-1141.43934983	13936363636.4	13
-975.658331553	-1143.71422122	14102272727.3	13
-982.704667428	-1145.96784418	14268181818.2	13
-989.708359191	-1148.2006607	14434090909.1	13
-996.670114676	-1150.41309986	14600000000.0	13
-1003.59062315	-1152.60557832	14765909090.9	13
-1010.47055566	-1154.77850067	14931818181.8	13
-1017.31056587	-1156.93225992	15097727272.7	13
-1024.11129083	-1159.06723795	15263636363.6	13
-1030.87335151	-1161.1838059	15429545454.5	13
-1037.59735327	-1163.28232453	15595454545.5	13
-1044.28388627	-1165.36314451	15761363636.4	13
-1050.93352628	-1167.42660688	15927272727.3	13
-1057.54683506	-1169.47304336	16093181818.2	13
-1064.12436082	-1171.50277668	16259090909.1	13
-1070.6666385	-1173.51612079	16425000000.0	13
191.339746	-705.0	0.0	14
88.8495348394	-767.909841154	165909090.909	14
43.5993577476	-797.68283355	331818181.818	14
8.96378002706	-821.162690864	497727272.727	14
-20.2046674434	-841.332349776	663636363.636	14
-45.8981929135	-859.353396417	829545454.545	14
-69.1361585568	-875.824385504	995454545.455	14
-90.5223315266	-891.102676157	1161363636.36	14
-110.448803249	-905.422398335	1327272727.27	14
-129.18696788	-918.947173267	1493181818.18	14
-146.933707314	-931.796924955	1659090909.09	14
-163.837104697	-944.062836181	1825000000.0	14
-180.011780175	-955.816286855	1990909090.91	14
-195.548551375	-967.114497287	2156818181.82	14
-210.5207887	-978.004249785	2322727272.73	14
-224.988749052	-988.524433115	2488636363.64	14
-239.002619597	-998.707834981	2654545454.55	14
-252.604715566	-1008.58244023	2820454545.45	14
-265.831097958	-1018.17238987	2986363636.36	14
-278.71279039	-1027.49870489	3152272727.27	14
-291.276708426	-1036.57984155	3318181818.18	14
-303.546379403	-1045.4321231	3484090909.09	14
-315.542510688	-1054.0700824	3650000000.0	14
