x	y	h
-837.837837838	-945.945945946	80.1767441145
-810.810810811	-945.945945946	80.8411216885
-783.783783784	-945.945945946	81.5212593831
-756.756756757	-945.945945946	82.2175519766
-729.72972973	-945.945945946	82.9304022103
-702.702702703	-945.945945946	83.660224625
-675.675675676	-945.945945946	84.4074502475
-648.648648649	-945.945945946	85.1725320762
-621.621621622	-945.945945946	85.9559512508
-594.594594595	-945.945945946	86.7582237221
-567.567567568	-945.945945946	87.579907161
-540.540540541	-945.945945946	88.4216077578
-513.513513514	-945.945945946	89.2839864635
-486.486486486	-945.945945946	90.1677641083
-459.459459459	-945.945945946	91.0737246824
-432.432432432	-945.945945946	92.0027158724
-405.405405405	-945.945945946	92.955645683
-378.378378378	-945.945945946	93.93347361
-351.351351351	-945.945945946	94.9371943227
-324.324324324	-945.945945946	95.9678111014
-297.297297297	-945.945945946	97.0262952935
-270.27027027	-945.945945946	98.1135266907
-243.243243243	-945.945945946	99.2302078919
-216.216216216	-945.945945946	100.376743268
-189.189189189	-945.945945946	101.553069984
-162.162162162	-945.945945946	102.758424628
-135.135135135	-945.945945946	103.991024597
-108.108108108	-945.945945946	105.24763918
-81.0810810811	-945.945945946	106.523023131
-54.0540540541	-945.945945946	107.809189188
-27.027027027	-945.945945946	109.094512507
0.0	-945.945945946	110.362700796
27.027027027	-945.945945946	111.591744725
54.0540540541	-945.945945946	112.753097653
81.0810810811	-945.945945946	113.811516073
108.108108108	-945.945945946	114.726162015
135.135135135	-945.945945946	115.45357524
162.162162162	-945.945945946	115.952746554
189.189189189	-945.945945946	116.191647532
216.216216216	-945.945945946	116.153479244
243.243243243	-945.945945946	115.840360289
270.27027027	-945.945945946	115.272888909
297.297297297	-945.945945946	114.485771967
324.324324324	-945.945945946	113.521336987
351.351351351	-945.945945946	112.423184943
378.378378378	-945.945945946	111.231517489
405.405405405	-945.945945946	109.980573803
432.432432432	-945.945945946	108.697830379
459.459459459	-945.945945946	107.404333831
486.486486486	-945.945945946	106.115592642
513.513513514	-945.945945946	104.842635051
540.540540541	-945.945945946	103.593015444
567.567567568	-945.945945946	102.371674899
594.594594595	-945.945945946	101.181632922
621.621621622	-945.945945946	100.024522287
